,node_a,node_b,time
0,1,2,1082040961
1,3,4,1082155839
2,5,2,1082414391
3,6,7,1082439619
4,8,7,1082439756
5,9,10,1082440403
6,9,11,1082440453
7,12,13,1082441188
8,9,14,1082441754
9,9,15,1082441824
10,9,16,1082441895
11,9,17,1082442153
12,9,18,1082442560
13,19,18,1082443023
14,20,21,1082444944
15,19,22,1082450074
16,8,23,1082450243
17,9,24,1082450645
18,9,22,1082450656
19,25,21,1082467089
20,26,7,1082481125
21,27,28,1082490240
22,29,25,1082504083
23,30,31,1082517506
24,32,33,1082518023
25,34,35,1082525530
26,34,33,1082525718
27,36,37,1082530949
28,38,39,1082538849
29,36,40,1082539557
30,41,15,1082540305
31,41,11,1082540354
32,41,14,1082540462
33,41,13,1082540496
34,41,39,1082541442
35,41,42,1082574211
36,41,43,1082576344
37,9,40,1082583700
38,44,45,1082585468
39,46,22,1082587705
40,44,46,1082588222
41,47,46,1082588508
42,48,46,1082589483
43,9,49,1082596555
44,36,50,1082597715
45,44,51,1082597751
46,32,52,1082598056
47,36,32,1082598122
48,53,54,1082598395
49,36,55,1082598545
50,56,57,1082598548
51,36,58,1082598765
52,44,59,1082598920
53,51,58,1082598934
54,44,14,1082599072
55,36,56,1082599376
56,36,60,1082599717
57,56,61,1082600068
58,62,50,1082600409
59,32,59,1082601455
60,41,63,1082602619
61,41,64,1082602668
62,41,65,1082602682
63,41,56,1082602700
64,41,61,1082602761
65,41,52,1082602807
66,41,58,1082602838
67,41,59,1082603068
68,9,64,1082603124
69,9,58,1082603179
70,12,66,1082603219
71,32,58,1082603266
72,67,32,1082603514
73,41,32,1082603571
74,32,68,1082603681
75,68,56,1082603850
76,68,61,1082604018
77,67,8,1082604696
78,69,67,1082605390
79,70,51,1082607167
80,44,50,1082607289
81,71,58,1082608405
82,71,72,1082608481
83,73,74,1082609649
84,34,58,1082610114
85,44,75,1082610117
86,9,76,1082610339
87,32,77,1082611326
88,41,76,1082612106
89,41,78,1082612122
90,79,48,1082612494
91,79,63,1082612535
92,41,80,1082612618
93,79,58,1082612664
94,41,81,1082612672
95,79,70,1082612947
96,19,82,1082613371
97,19,72,1082613444
98,12,32,1082613466
99,19,64,1082613910
100,19,58,1082614030
101,19,52,1082614388
102,83,59,1082614460
103,38,58,1082614831
104,67,59,1082616359
105,44,84,1082617666
106,19,85,1082618206
107,3,84,1082619042
108,19,8,1082619196
109,84,86,1082619833
110,83,58,1082620003
111,86,48,1082620231
112,87,63,1082620509
113,36,88,1082620689
114,87,8,1082620950
115,36,89,1082621383
116,90,56,1082621402
117,36,90,1082621459
118,36,84,1082621518
119,91,92,1082621575
120,36,93,1082621760
121,94,84,1082622904
122,69,84,1082623764
123,69,95,1082623795
124,84,8,1082626287
125,91,81,1082627222
126,96,88,1082627395
127,91,47,1082629573
128,97,98,1082630222
129,48,97,1082630520
130,99,8,1082630832
131,100,101,1082631193
132,102,97,1082631289
133,48,58,1082632034
134,103,72,1082635084
135,103,58,1082635445
136,104,59,1082637588
137,105,56,1082653516
138,106,72,1082653683
139,105,61,1082653966
140,105,8,1082654051
141,105,33,1082654503
142,105,107,1082654817
143,105,81,1082655250
144,44,102,1082656071
145,36,105,1082659317
146,36,104,1082659895
147,34,108,1082660179
148,34,109,1082660743
149,36,110,1082660940
150,111,112,1082661553
